#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.31381 0.113756 0.00792383 0.00871381 0.109616 0.00757221 0.00828156 0.0582455 0.00775263 0.0084366
0.318873 0.116975 0.00784579 0.00928908 0.112829 0.0075273 0.00878082 0.0595332 0.00765241 0.00898043
0.323935 0.119374 0.00756017 0.00920914 0.115226 0.0073605 0.00908015 0.0604956 0.00742919 0.00917716
0.328997 0.122278 0.00711252 0.00961103 0.118135 0.00691727 0.00955417 0.0618117 0.00725585 0.00949436
0.33406 0.124237 0.00663597 0.00977648 0.120102 0.00655267 0.00974265 0.062749 0.0070787 0.00986571
0.339122 0.125985 0.00613713 0.0100327 0.121867 0.00598457 0.0100027 0.0636693 0.00694234 0.0101712
0.344185 0.1278 0.0056772 0.0103882 0.123693 0.00568149 0.0105551 0.064714 0.00683776 0.0104906
0.349247 0.128965 0.00554701 0.0109304 0.124873 0.00557399 0.0109201 0.0655078 0.00710662 0.0106793
0.35431 0.129384 0.00496304 0.0111183 0.1253 0.00488069 0.0110837 0.065998 0.00715327 0.0109713
0.359372 0.129665 0.00431408 0.0109681 0.125608 0.00427835 0.0110731 0.0664839 0.00690644 0.0113057
0.364435 0.130025 0.00390892 0.0111302 0.125995 0.00387376 0.0107026 0.0670752 0.00665092 0.0116217
0.369497 0.129825 0.00391922 0.0105324 0.125814 0.0036207 0.0104229 0.0674207 0.0063941 0.0117887
0.37456 0.129224 0.00352771 0.0105124 0.125248 0.00343906 0.0103243 0.0676133 0.00610548 0.0118601
0.379622 0.128907 0.0031581 0.0103115 0.124962 0.0029314 0.010313 0.0679976 0.00601274 0.0119267
0.384685 0.127807 0.00277138 0.0103528 0.123892 0.00250813 0.0104372 0.0679833 0.0058496 0.0120439
0.389747 0.127198 0.00283917 0.0105851 0.123314 0.00245218 0.0106548 0.0682701 0.00595809 0.0122268
0.39481 0.12584 0.00276674 0.0101983 0.121988 0.00236479 0.0102561 0.0681665 0.00619558 0.0124442
0.399872 0.124662 0.00235496 0.00979391 0.120836 0.00231288 0.00975738 0.0681811 0.00598556 0.0128129
0.404935 0.122937 0.0024421 0.00949234 0.119142 0.00238295 0.00954381 0.0678995 0.00585163 0.0129448
0.409997 0.121043 0.00245297 0.00905973 0.117282 0.00234977 0.00892546 0.0675232 0.00571241 0.0128066
0.41506 0.119221 0.0021128 0.00881794 0.115489 0.00214642 0.00886536 0.0671678 0.00557931 0.0126929
0.420122 0.117365 0.00203717 0.00857302 0.113668 0.00193261 0.00842496 0.0667993 0.00569626 0.0125595
0.425185 0.115453 0.00200657 0.00807538 0.111781 0.00204196 0.00793448 0.0663892 0.00616914 0.0124026
0.430247 0.113761 0.00211856 0.00771446 0.110116 0.00196339 0.00760873 0.0660961 0.00656127 0.0121927
0.43531 0.111489 0.00213899 0.00723711 0.107878 0.0019745 0.00730666 0.0654284 0.00682012 0.0121267
0.440372 0.109471 0.00211873 0.00681923 0.105889 0.00189413 0.0069101 0.0649029 0.00657234 0.0120825
0.445435 0.107166 0.00199098 0.00644744 0.103612 0.00200194 0.00649705 0.0641759 0.00650868 0.011875
0.450497 0.104784 0.00200976 0.00608253 0.101261 0.00215102 0.00618198 0.0633838 0.00665006 0.011777
0.45556 0.102502 0.00209596 0.00582854 0.0990012 0.00227666 0.00570281 0.0626193 0.00666977 0.0117518
0.460622 0.100308 0.00225082 0.00547674 0.0968344 0.00237937 0.00548408 0.0618809 0.00673543 0.0114779
0.465685 0.0978183 0.00234326 0.00528993 0.0943733 0.00241553 0.00518054 0.0609301 0.00693178 0.0111985
0.470747 0.0955193 0.00231138 0.00506894 0.0920978 0.00248352 0.00500813 0.060063 0.00711 0.0110296
